location,label,side,material,grade,width,height,length,quantity,level
EXTERNAL,FF-XD1,SQUARE,Other,C16,38,38,2719,3,FF Walls
EXTERNAL,FF-XD1,SQUARE,Other,C16,38,38,2246,1,FF Walls
EXTERNAL,FF-XD1,ANGLED,Other,C16,38,38,2702,1,FF Walls
EXTERNAL,FF-XD1,ANGLED,Other,C16,38,38,2388,1,FF Walls
EXTERNAL,FF-XD1,SQUARE,Other,C16,38,38,2551,2,FF Walls
EXTERNAL,FF-XD1,SQUARE,Other,C16,38,38,691,1,FF Walls
EXTERNAL,FF-XD1,ANGLED,Other,C16,38,89,1568,1,FF Walls
EXTERNAL,FF-XD10,SQUARE,Bottom Rail,C16,38,89,1500,1,FF Walls
EXTERNAL,FF-XD10,SQUARE,Top Rail,C16,38,89,1500,1,FF Walls
EXTERNAL,FF-XD10,SQUARE,Headbinder,C16,38,89,1500,1,FF Walls
EXTERNAL,FF-XD10,SQUARE,Stud,C16,38,89,1292,5,FF Walls
EXTERNAL,FF-XD10,SQUARE,Junction Stud,C16,38,140,1292,1,FF Walls
EXTERNAL,FF-XD10,SQUARE,Other,C16,38,38,1360,2,FF Walls
EXTERNAL,FF-XD10,SQUARE,Other,C16,38,38,1325,3,FF Walls
EXTERNAL,FF-XD10,SQUARE,Other,C16,38,89,1325,1,FF Walls
EXTERNAL,FF-XD11,ANGLED,Stud,C16,38,89,1794,1,FF Walls
EXTERNAL,FF-XD11,ANGLED,Stud,C16,38,89,1688,1,FF Walls
EXTERNAL,FF-XD11,SQUARE,Bottom Rail,C16,38,89,563,1,FF Walls
EXTERNAL,FF-XD11,ANGLED,Stud,C16,38,89,2128,1,FF Walls
EXTERNAL,FF-XD11,ANGLED,Top Rail,C16,38,89,767,1,FF Walls
EXTERNAL,FF-XD11,ANGLED,Junction Stud,C16,38,89,1762,1,FF Walls
EXTERNAL,FF-XD11,ANGLED,Other,C16,38,38,1910,1,FF Walls
EXTERNAL,FF-XD11,ANGLED,Other,C16,38,38,1549,1,FF Walls
EXTERNAL,FF-XD11,SQUARE,Other,C16,38,38,468,1,FF Walls
EXTERNAL,FF-XD11,ANGLED,Other,C16,38,38,643,1,FF Walls
EXTERNAL,FF-XD12,ANGLED,Stud,C16,38,89,400,5,FF Walls
EXTERNAL,FF-XD12,ANGLED,Bottom Rail,C16,38,89,1261,1,FF Walls
EXTERNAL,FF-XD12,ANGLED,Stud,C16,38,89,255,1,FF Walls
EXTERNAL,FF-XD12,SQUARE,Top Rail,C16,38,89,186,1,FF Walls
EXTERNAL,FF-XD12,ANGLED,Top Rail,C16,38,89,1019,1,FF Walls
EXTERNAL,FF-XD12,ANGLED,Stud,C16,38,89,380,1,FF Walls
EXTERNAL,FF-XD12,ANGLED,Other,C16,38,38,1257,2,FF Walls
EXTERNAL,FF-XD12,ANGLED,Other,C16,38,38,182,3,FF Walls
EXTERNAL,FF-XD13,SQUARE,Stud,C16,38,89,391,4,FF Walls
EXTERNAL,FF-XD13,SQUARE,Bottom Rail,C16,38,89,1819,1,FF Walls
EXTERNAL,FF-XD13,SQUARE,Top Rail,C16,38,89,1819,1,FF Walls
EXTERNAL,FF-XD13,SQUARE,Other,C16,38,38,386,4,FF Walls
EXTERNAL,FF-XD13,SQUARE,Other,C16,38,38,1817,2,FF Walls
EXTERNAL,FF-XD14,SQUARE,Top Rail,C16,38,89,2400,1,FF Walls
EXTERNAL,FF-XD14,SQUARE,Bottom Rail,C16,38,89,2400,1,FF Walls
EXTERNAL,FF-XD14,SQUARE,Stud,C16,38,89,391,5,FF Walls
EXTERNAL,FF-XD14,SQUARE,Other,C16,38,38,386,5,FF Walls
EXTERNAL,FF-XD14,SQUARE,Other,C16,38,38,2398,2,FF Walls
EXTERNAL,FF-XD15,SQUARE,Top Rail,C16,38,89,114,1,FF Walls
EXTERNAL,FF-XD15,SQUARE,Top Rail,C16,38,89,1142,1,FF Walls
EXTERNAL,FF-XD15,SQUARE,Stud,C16,38,89,42,3,FF Walls
EXTERNAL,FF-XD15,SQUARE,Stud,C16,38,89,259,5,FF Walls
EXTERNAL,FF-XD15,SQUARE,Bottom Rail,C16,38,89,1256,1,FF Walls
EXTERNAL,FF-XD15,SQUARE,Other,C16,38,38,1142,1,FF Walls
EXTERNAL,FF-XD15,SQUARE,Other,C16,38,38,37,2,FF Walls
